cores, oned, clps, span, iota, kokkos2d, 
1, 1.0, 1.0, 1.0, 1.0, 1.0, 
11, 7.644605621033545, 9.214770158251696, 10.069377990430622, 8.21081081081081, 8.860696517412935, 
22, 11.943342776203966, 14.839805825242719, 18.4067055393586, 14.48966613672496, 14.530303030303031, 
33, 15.73134328358209, 19.91530944625407, 27.63019693654267, 19.35031847133758, 18.80392156862745, 
44, 19.655011655011656, 25.212371134020618, 37.02932551319648, 23.369230769230768, 21.05912162162162, 
56, 22.850948509485097, 29.970588235294116, 46.59409594095941, 27.125, 24.493123772102162, 
67, 23.819209039548024, 31.5968992248062, 55.74834437086093, 29.02547770700637, 25.81159420289855, 
78, 23.101369863013698, 31.678756476683937, 61.74572127139364, 30.07920792079208, 26.191176470588236, 
89, 22.91304347826087, 31.03553299492386, 65.42487046632124, 30.68686868686869, 25.81159420289855, 
100, 22.36604774535809, 30.192592592592593, 64.09644670050761, 29.59090909090909, 24.254863813229573, 
112, 21.7319587628866, 29.751824817518248, 61.89705882352941, 29.02547770700637, 23.611742424242426, 
